index;Frame;Too Cheap;Cheap;Expensive;Too Expensive
70;3;15000;18000;20000;26000
71;3;15000;20000;24000;25000
72;3;16000;18000;20000;26000
73;3;16000;18000;25000;26000
74;3;14000;18000;20000;22000
75;3;14000;16000;18000;22000
76;3;13000;18000;22000;24000
77;3;18000;21000;23000;28000
78;3;16000;18000;24000;26000
79;3;15000;20000;22000;28000
80;3;16000;18000;20000;22000
81;3;16000;20000;22000;26000
82;3;14000;18000;20000;22000
83;3;16000;21000;22000;24000
84;3;16000;18000;20000;22000
85;3;11000;16000;18000;22000
86;3;12000;16000;19000;22000
87;3;16000;18000;20000;22000
88;3;18000;20000;22000;25000
89;3;15000;18000;24000;26000
90;3;18000;22000;24000;26000
91;3;15000;18000;22000;24000
92;3;14000;18000;22000;24000
93;3;16000;20000;22000;26000
94;3;14000;18000;20000;25000
95;3;14000;18000;24000;26000
96;3;16000;18000;20000;22000
97;3;14000;18000;20000;22000
